População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
BA,2911402,Glória,2309,2922,4333.76660067,4741.12446615,
BA,2911501,Gongogi,2903,2672,3042.90933872,3261.28482518,
BA,2911600,Governador Mangabeira,4802,5596,5920.49586518,8549.5440808,
BA,2911659,Guajeru,,,2661.60677182,5617.94113172,
BA,2911709,Guanambi,11411,15535,24285.89977442,31783.1511523899,
BA,2911808,Guaratinga,9541,8498,8437.58586827,8308.7502324,
BA,2911857,Heliópolis,,,3306.1762279,6338.27906048,
BA,2911907,Iaçu,6020,7615,7442.7797563,10538.05154076,
BA,2912004,Ibiassucê,2957,3229,4158.09234811,4687.39961152,
BA,2912103,Ibicaraí,7687,9607,9834.17503469,11210.84882441,
BA,2912202,Ibicoara,1793,2122,3212.15562236,6595.22788994,
BA,2912301,Ibicuí,4254,4307,5076.36252386,6103.27113715,
BA,2912400,Ibipeba,2830,2859,5699.94480308,5789.16553375,
BA,2912509,Ibipitanga,2720,2834,4165.31740727,4406.33042557,
BA,2912608,Ibiquera,2256,1917,1700.9209109,1386.03956049,
BA,2912707,Ibirapitanga,4091,7562,8271.14849152,8106.76331264,
BA,2912806,Ibirapuã,5705,2692,2725.52258503,2986.91903893,
BA,2912905,Ibirataia,4600,7194,7966.17957412,9855.09611395,
BA,2913002,Ibitiara,5813,8337,5597.80788282,5464.92655049,
BA,2913101,Ibititá,3240,4110,5693.9503291,6833.24834611,
BA,2913200,Ibotirama,3475,4877,7856.0434399,10694.77029767,
BA,2913309,Ichu,1132,1699,3223.62502272,2476.55792173,
BA,2913408,Igaporã,3530,3795,4841.9944057,5495.04864531,
BA,2913457,Igrapiúna,,,3657.62660288,5055.27530328,
BA,2913507,Iguaí,6913,6696,7712.36621337,9250.43350427,
BA,2913606,Ilhéus,32638,41408,74824.2559317402,93917.9291062307,
BA,2913705,Inhambupe,5778,6942,8292.40345539,12694.12634612,
BA,2913804,Ipecaetá,9955,8470,5830.60786056,9044.19083282,
BA,2913903,Ipiaú,8138,14459,16600.88851218,18148.01332763,
BA,2914000,Ipirá,18278,20979,21132.37325695,24600.79843338,
BA,2914109,Ipupiara,2907,2295,3350.73816013,3216.51693282,
BA,2914208,Irajuba,2434,2485,1914.0404415,2283.85219654,
BA,2914307,Iramaia,2598,3628,4247.45751034,6329.50959997,
BA,2914406,Iraquara,3848,4531,5441.96634173,7551.24134067,
BA,2914505,Irará,6866,7964,9612.46371747,12070.2027788,
BA,2914604,Irecê,18140,25181,19438.9845979,25330.56195664,
BA,2914653,Itabela,,,6063.76819232,9646.54396561,
